msgs, stock_sentiment 
#Update(3)  $VEEV Mar-15 120 Calls Up +28%.  since alerted on: Feb 28.,Bullish
$veev exited 1/3 position for 3 pts.,None
"$VEEV Veeva Systems (VEEV, $117.91) was the market&#39;s top quarterly gainer, rising +23% https://tickeron.com?eventid=648256",None
"$ptc continues its b/o. Transitioning from licensed software to SAAS, like $adbe $veev etc. did in prior years. Next 4 -6 ER&#39;s will be noisy",Bullish
$veev lol good 2 go.,None
$veev 118 tested held goof to go?..rally from here..125-130 🎯,None
NEW POST: Patience Paying Off https://marketchess.com/2019/03/01/patience-paying-off $IBB $QQQ $XBI $VEEV $XLV,None
"@Ashfx17 I think they beat earnings and it pops Tuesday...you do what u like, I&#39;m telling you what I am doing...$VEEV calls for 3/15 and CRM",None
$CBLK $TEAM $TWLO $NTNX $VEEV $PAYC $NEWR $ULTI Watch out for the fringe cloud plays (aka Pets.com) https://www.bloomberg.com/opinion/articles/2019-02-28/forget-faangs-stock-bubble-could-be-in-cloud-software,Bearish
$VEEV In the last six months 30 setups peaked above 100% after they were posted,Bullish
#Update(1)  $VEEV Mar-15 115 Puts Down -61%. since alerted on: Feb 26.,Bearish
@waterworks $VEEV already dipped after the ER,None
$XLNX $TEAM $VEEV waiting for dip or red day to start positions for next ers. very bullish!,Bullish
KeyCorp Raises Veeva Systems Q2 2020 Earnings Estimates to $0.35 EPS (Previously $0.33). https://www.marketbeat.com/x/625109 $VEEV,None
DA Davidson Raises Veeva Systems Q1 2020 Earnings Estimates to $0.35 EPS (Previously $0.32). https://www.marketbeat.com/x/625107 $VEEV,None
$VEEV last time rsi was this low on veev it was 95 dollars. The fuel is here. Now let&#39;s set the match.,None
"$VEEV $120 and $125 calls for March
$TTD $200 calls for today
$CRM $177.5 or $180 calls for next Fri
$VMW lotto puts for today or next Fri",None
$VEEV double bottom...going much higher,Bullish
$INSG $TWLO $ZS $DXR $CTK $KRYS $TWST $HYRE $INS $TWLO $VEEV $TEAM nice,None
"$VEEV chart via @IBDinvestors @MarketSmith 

* Pivot long $109

* Upside &#39;would be&#39; $130.86

* Loss zone would be $103.60

#IBDPartner",Bullish
"$YY, $VEEV and $FB are selected by our stock screener as decent setups while having great growth fundamentals. https://www.chartmill.com/stockscreener.php?filters=m_us_only,v1_50b500,p_pg20,fag_8,fah_5,fap_5,se_7&amp;s=37&amp;v=9&amp;sid=205&amp;utm_source=stocktwits&amp;utm_medium=screener&amp;utm_content=Stock_Screener:_Strong_Growth_Stock_Technical_Setups&amp;utm_campaign=social_tracking",None
"$BPOP, $PLNT and $VEEV. Strong technicals stocks and near a new high. https://www.chartmill.com/stockscreener.php?filters=m_us_only,p_pg10,v1_50b500,s_str,s2_nnh&amp;timeframe=DAILY&amp;type=CANDLES&amp;months=0.05&amp;width=720&amp;cl=F&amp;o1=3&amp;o2=3&amp;o3=1&amp;op1=200&amp;op2=50&amp;op3=&amp;i1=&amp;i2=&amp;i3=&amp;ip1=&amp;ip2=&amp;ip3=&amp;v=9&amp;sid=16&amp;utm_source=stocktwits&amp;utm_medium=screener&amp;utm_content=Stock_Screener:_Strong_Stocks_near_New_High&amp;utm_campaign=social_tracking",None
"$VEEV Veeva Systems (VEEV, $120.24) was the market&#39;s top gainer this month, soaring +11% https://tickeron.com?eventid=651909",None
$VEEV no 3 in @InvestorsBusinessDaily IBD 50 Sat 3.2.19 #software #leader #lifesciences,None
"$VEEV, $BMRN and $FB are good growth stocks and are also showing a technical setup pattern at the moment. https://www.chartmill.com/stockscreener.php?filters=m_us_only,v1_50b500,p_pg20,fag_8,fah_5,fap_5,se_7&amp;s=37&amp;v=9&amp;sid=205&amp;utm_source=stocktwits&amp;utm_medium=screener&amp;utm_content=Stock_Screener:_Strong_Growth_Stock_Technical_Setups&amp;utm_campaign=social_tracking",None
"Bull flags detected by our stock screener in $BPOP, $ABR and $VEEV. https://www.chartmill.com/stockscreener.php?filters=m_us_only,v1_50b500,s_bf&amp;timeframe=DAILY&amp;type=CANDLES&amp;o1=3&amp;op1=200&amp;i1=&amp;ip1=&amp;cl=F&amp;months=0&amp;o2=3&amp;op2=50&amp;i2=&amp;ip2=&amp;width=400&amp;o3=62&amp;op3=&amp;i3=&amp;ip3=&amp;v=9&amp;sid=13&amp;utm_source=stocktwits&amp;utm_medium=screener&amp;utm_content=Stock_Screener:_Bull_Flags&amp;utm_campaign=social_tracking",None
"$VEEV, $PXD and $AMZN are good growth stocks and are also showing a technical setup pattern at the moment. https://www.chartmill.com/stockscreener.php?filters=m_us_only,v1_50b500,p_pg20,fag_8,fah_5,fap_5,se_7&amp;s=37&amp;v=9&amp;sid=205&amp;utm_source=stocktwits&amp;utm_medium=screener&amp;utm_content=Stock_Screener:_Strong_Growth_Stock_Technical_Setups&amp;utm_campaign=social_tracking",None
"Bull flags detected by our stock screener in $ACIA and $VEEV. https://www.chartmill.com/stockscreener.php?filters=m_us_only,v1_50b500,s_bf&amp;timeframe=DAILY&amp;type=CANDLES&amp;o1=3&amp;op1=200&amp;i1=&amp;ip1=&amp;cl=F&amp;months=0&amp;o2=3&amp;op2=50&amp;i2=&amp;ip2=&amp;width=400&amp;o3=62&amp;op3=&amp;i3=&amp;ip3=&amp;v=9&amp;sid=13&amp;utm_source=stocktwits&amp;utm_medium=screener&amp;utm_content=Stock_Screener:_Bull_Flags&amp;utm_campaign=social_tracking",None
"$SIVB, $ESNT and $VEEV are good growth stocks and are also showing a technical setup pattern at the moment. https://www.chartmill.com/stockscreener.php?filters=m_us_only,v1_50b500,p_pg20,fag_8,fah_5,fap_5,se_7&amp;s=37&amp;v=9&amp;sid=205&amp;utm_source=stocktwits&amp;utm_medium=screener&amp;utm_content=Stock_Screener:_Strong_Growth_Stock_Technical_Setups&amp;utm_campaign=social_tracking",None
"Peak gain %, the last 3 expired setups $VEEV",Bullish
#Update(3)  $VEEV Mar-15 120 Calls Up +28%.  since alerted on: Feb 28.,Bullish
$veev exited 1/3 position for 3 pts.,None
"$VEEV Veeva Systems (VEEV, $117.91) was the market&#39;s top quarterly gainer, rising +23% https://tickeron.com?eventid=648256",None
"$ptc continues its b/o. Transitioning from licensed software to SAAS, like $adbe $veev etc. did in prior years. Next 4 -6 ER&#39;s will be noisy",Bullish
$veev lol good 2 go.,None
$veev 118 tested held goof to go?..rally from here..125-130 🎯,None
NEW POST: Patience Paying Off https://marketchess.com/2019/03/01/patience-paying-off $IBB $QQQ $XBI $VEEV $XLV,None
"@Ashfx17 I think they beat earnings and it pops Tuesday...you do what u like, I&#39;m telling you what I am doing...$VEEV calls for 3/15 and CRM",None
$CBLK $TEAM $TWLO $NTNX $VEEV $PAYC $NEWR $ULTI Watch out for the fringe cloud plays (aka Pets.com) https://www.bloomberg.com/opinion/articles/2019-02-28/forget-faangs-stock-bubble-could-be-in-cloud-software,Bearish
$VEEV In the last six months 30 setups peaked above 100% after they were posted,Bullish
#Update(1)  $VEEV Mar-15 115 Puts Down -61%. since alerted on: Feb 26.,Bearish
@waterworks $VEEV already dipped after the ER,None
$XLNX $TEAM $VEEV waiting for dip or red day to start positions for next ers. very bullish!,Bullish
KeyCorp Raises Veeva Systems Q2 2020 Earnings Estimates to $0.35 EPS (Previously $0.33). https://www.marketbeat.com/x/625109 $VEEV,None
DA Davidson Raises Veeva Systems Q1 2020 Earnings Estimates to $0.35 EPS (Previously $0.32). https://www.marketbeat.com/x/625107 $VEEV,None
$VEEV last time rsi was this low on veev it was 95 dollars. The fuel is here. Now let&#39;s set the match.,None
"$VEEV $120 and $125 calls for March
$TTD $200 calls for today
$CRM $177.5 or $180 calls for next Fri
$VMW lotto puts for today or next Fri",None
$VEEV double bottom...going much higher,Bullish
$INSG $TWLO $ZS $DXR $CTK $KRYS $TWST $HYRE $INS $TWLO $VEEV $TEAM nice,None
"$VEEV chart via @IBDinvestors @MarketSmith 

* Pivot long $109

* Upside &#39;would be&#39; $130.86

* Loss zone would be $103.60

#IBDPartner",Bullish
